doc_id,text,date,year,title,url
rodong_sinmun_en_0010,"Tillerson and other riffraff of the U.S. Department of State are now claiming that they ""welcome"" the inter-Korean dialogue but it is necessary to put persistent pressure upon the DPRK and the U.S. will pursue a policy of ""maximum pressure"". Japanese Prime Minister Abe, during his recent junkets to European countries, begged for sanctions and pressure on the DPRK. Shortly ago, delegates of the countries that participated in the Korean War and Japan were closeted over intensified pressure against the DPRK in Canada, under the U.S. scenario. It is not particular that the U.S. and its followers talk about sanctions and pressure against the DPRK from the beginning of the year. It was a miscalculation of the U.S. that the DPRK would surrender like some countries that destroyed their hard-gained war deterrence, yielding to its persistent sanctions, pressure, military threat and blackmail. However, the army and people of the DPRK have made eye-opening successes on all fronts of building a powerful socialist country by giving vent to their soaring hatred against enemies and enthusiasm for retaliating against them despite the harshest sanctions. The reality clearly proves that no sanctions, blockade and military pressure of the U.S. can ever check the dynamic advance of Juche Korea based on the spirit of self-reliance and self-development. The U.S. hostile policy and sanctions against the DPRK are, in a nutshell, bound to go bankrupt. It is ridiculous that the U.S. and its followers talk about ""additional and unilateral sanctions"" as they have no economic dealings and contact with the DPRK. Ri Hyon Do",2018-01-29,2018,Policy of Pressure against DPRK Is Doomed to Failure,http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-01-29-0005
rodong_sinmun_en_0011,"""America first"" is the chauvinist doctrine which is driving the U.S. into isolation and ruin as it persists in inequality and racial discrimination in the international relations and the war-first doctrine wrecking global peace, prompted by its hegemonic nature. It is also extreme state egoism driving the U.S. into isolation politically and economically. The burglarious logic for aggression ""America first"" justifying the act of depriving other countries and nations of sovereignty and rights to existence and development serves as strong catalyst accelerating ruin of the empire of evils in every part of the world. ""America first"" calling for sacrificing the world for its own abundant life drives even the allies and henchmen of the U.S. into a dilemma and creates a chaos in the overall West economy. ""America first"" is being buffeted by criticism of the international community as it is a doctrine to turn the world into a theatre of rampage by the jungle law through highhanded and arbitrary practices. It is natural in the light of the law of causality that the empire of evils wielding ""America first"" stick for aggression and plunder in the world is hit by the international community. ""America first"", Yankee-style hegemonic doctrine saying that everything should exist for the U.S., accelerates isolation and ruin of the empire of evils in all aspects of politics, economy, military affairs and diplomacy. Ri Hyo Jin",2018-01-30,2018,"""America First"" Drives U.S. into Isolation and Ruin",http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-01-30-0002
rodong_sinmun_en_0012,"A spokesperson for the Korean National Peace Committee issued a statement on Jan. 28 with the approach of 60 years since the U.S. officially published the introduction of nuclear weapons into south Korea. The U.S. officially announced the above-said introduction on January 29, 1958 and undisguisedly opened to public nukes including atomic guns and Honest John nuclear missiles. Thenceforth the Korean Peninsula, once a nuclear free zone, has turned into a nuclear powder magazine and a source of nuclear war of the U.S. and the Korean nation has been at constant peril of nuclear war due to its nuclear stick. Even at this time when the climate of national concord, unity and detente is growing strong on the Korean Peninsula thanks to our proactive measures and sincere efforts, the U.S. is bringing nuclear carrier task forces, nuclear strategic bombers and other huge nuclear war means to south Korea and its vicinity, imposing constant nuclear war threat and blackmail on our nation. What should not be overlooked is the fact that the U.S. is planning to designate the DPRK as ""potential state of nuclear threat"" and stipulate even the scenario for preemptive nuclear strike in the ""2018 nuclear posture review report"" to be published around early February. The past sixty years are a history of heinous aggression and crimes in which the U.S. reduced south Korea into the world's biggest nuclear weapons arsenal and most dangerous seat of nuclear war and has constantly threatened the destiny of the Korean nation with nukes. The U.S. would be well advised to behave itself, aware that the days have gone for good when it could pose its unilateral threat to the DPRK with a nuclear stick. The south Korean authorities should stop the shipment of U.S. nuclear strategic assets and aggressor forces which will spawn bloodshed on this sacred territory, cease the nuclear war exercises with the U.S. and respond to our sincere efforts for detente. All compatriots in the north and the south and abroad should reject the anti-DPRK moves of the U.S. to bring clouds of a nuclear war to hang over Korea, and conduct more vigorous anti-U.S., anti-war struggle to drive the U.S. nuclear hardware and aggression forces out of south Korea. Rodong News Team",2018-01-30,2018,KNPC Spokesman Calls for Foiling U.S. Nuclear War Moves,http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-01-30-0004
rodong_sinmun_en_0013,"A Romanian preparatory committee for celebrating the birth anniversary of leader Kim Jong Il (Day of the Shining Star) was formed on Jan. 20. Constantin Rotaru, chairman of the Socialist Party of Romania, was elected chairman of the preparatory committee. The committee set a celebration period from Jan. 20 to Feb. 18 and decided to hold colorful political and cultural events in praise of the revolutionary career and feats of Kim Jong Il and the wise guidance of respected Supreme Leader Kim Jong Un in the period. Rodong News Team",2018-02-02,2018,Day of Shining Star to Be Marked in Romania,http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-02-02-0002
rodong_sinmun_en_0014,"Officials of the organizations of the General Association of Korean Residents in Japan (Chongryon) on Jan. 30 made public statements in support of an appeal of the joint conference of the DPRK government, political parties and organizations to all the Korean nationals at home and abroad. Ri Tong Je, chairman of the Association of Koreans in Japan for Peaceful Reunification, stressed that he would spare no effort to stick to and carry forward the spirit of the joint conference of representatives of political parties and public organizations in north and south Korea and ensure that a joint national event to be attended by all political parties, organizations and personages at home and abroad would be successfully held on such occasions as the anniversaries of north-south declarations and the 73rd anniversary of national liberation this year marking the 70th anniversary of the said joint conference. Kim Yong Ju, chairman of the Central Standing Committee of the Korean Youth League in Japan, said that the Korean youth and students in Japan would always stand in the van of the struggle to decisively smash the nuclear war exercises and all other obstructive moves of the U.S. and anti-reunification forces and bring about a fresh era of peace and reunification on the Korean Peninsula under the unfurled banner of By Our Nation Itself by further strengthening solidarity and unity with the fellow countrymen in the north and the south and abroad. Ryang Ok Chul, vice-chairperson of the Central Standing Committee of the Korean Democratic Women's Union in Japan, said that the union officials and all other Korean women would fulfill their mission and duty they assumed before the country and the nation, with the strong will to go all out to glorify this year as a year of great change and great event to be noteworthy in the history of national reunification. Rodong News Team",2018-02-05,2018,Chongryon Officials Back Appeal of DPRK,http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-02-05-0003
rodong_sinmun_en_0015,"The U.S. has recently tried hard to drive the situation on the Korean Peninsula into confrontation again by marring the atmosphere for detente and improvement of the inter-Korean relations created thanks to the patriotic and proactive efforts of the DPRK. It shows that the U.S., upset by the hard-won climate of national reconciliation and unity and the improvement of the inter-Korean ties on the peninsula, is making desperate efforts to prevent the trend at any cost. The U.S. claims to ""back"" the inter-Korean dialogue, but it is nothing but an artifice to cover up its sinister intention to persistently coil up the tension on the peninsula. Such criminal act is a dangerous scheme to start a war for aggression on the DPRK. Watching the Trump group seek to hinder the inter-Korean dialogue and openly aggravate the situation, the Korean nation and the international community clearly see once again through the black-hearted intention of the U.S., harasser of dialogue and peace and nuclear war maniac. The reality proves that so long as the U.S. persists in its sinister scheme and anti-reunification interference, it is impossible to expect smooth development of the inter-Korean ties and achieve the peace and stability of the peninsula. Un Jong Chol",2018-02-06,2018,Rash Acts of Marring Atmosphere of Improved Inter-Korean Ties,http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-02-06-0002
rodong_sinmun_en_0016,"A spokesman of the Committee for Aiding Overseas Compatriots of the DPRK in a statement Tuesday denounced the Japanese reactionaries for getting frantic in their suppression of the General Association of Korean Residents in Japan (Chongryon). The joint investigation headquarters, made up of policemen from the Metropolitan Police Office and Saitama Prefecture of Japan, on Feb. 1 hurled more than 100 armed policemen to search the Tokyo Metropolitan Headquarters of Chongryon and the house of a Chongryon official and the Future Foundation set up for rendering support for the Korean school. Earlier on Jan. 31, the Japan police authorities walked off the former chairman of the Katsushika branch of Chongryon on charges of ""violation of the law on secondhand dealers"". Charging that the banknote of the former Chongryon branch chairman had a record of remitting money to Chongryon organization, they ransacked the Tokyo Metropolitan Headquarters of Chongryon and the house of a Chongryon official who had nothing to do with the remittance. Lurking behind the recent acts hostile toward the DPRK and Chongryon which the Japanese reactionaries committed in broad daylight is a crafty and sordid political attempt peculiar to the island country, the spokesman said, and went on: Clear is the aim sought by Japan through its rare act of swindling which it orchestrated with much effort. That is to charge Chongryon, a dignified overseas citizens' organization of the DPRK, as an ""illegal organization"" and ""lawless body"", heighten atmosphere against the DPRK and Chongryon throughout Japan, escalate the tension on the Korean peninsula with it as an occasion and thus pave the way for realizing Japan's dirty militarist ambition. The Japanese authorities' frantic anti-Chongryon and anti-Korean moves will only disclose the despicable and shameless nature of Japan as the tundra of human rights and a political dwarf. If the Japanese authorities do not stop at once such vicious and childish suppression of Chongryon and Koreans in Japan, they will be made to hold full responsibility for the catastrophic consequences to be entailed by such acts. Rodong News Team",2018-02-07,2018,Japanese Reactionaries' Suppression of Chongryon Blasted,http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-02-07-0001
rodong_sinmun_en_0017,"Kim Yong Nam, president of the Presidium of the Supreme People's Assembly, who is heading a high-level delegation of the Democratic People's Republic of Korea, on Feb. 9 attended the pre-opening ceremony reception held before the 23rd Winter Olympics and met with Moon Jae In, president of south Korea. Kim Yong Nam exchanged warm greetings with Moon Jae In and had a photo session with him. Kim Yong Nam also exchanged greetings with heads of state and government of different countries who came to attend the opening ceremony of the Olympics at the said reception. Rodong News Team",2018-02-12,2018,Kim Yong Nam Meets Moon Jae In,http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-02-12-0009
rodong_sinmun_en_0018,"A preparatory committee for celebrating the birth anniversary of leader Kim Jong Il (the Day of the Shining Star) was formed by the Lenin Young Communist League of the Russian Federation on Feb. 2. V. P. Isakov, first secretary of the league, was elected chairman of the preparatory committee. The committee set the celebration period from Feb. 2 to 17 and decided to organize colorful political and cultural events such as a seminar and film show in praise of the revolutionary career and feats of Kim Jong Il in this period. Rodong News Team",2018-02-13,2018,Day of Shining Star to Be Marked in Russia,http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-02-13-0009
rodong_sinmun_en_0019,"Fireworks were displayed in the sky above Pyongyang on Feb. 16 evening in celebration of the birth anniversary of leader Kim Jong Il. Kim Il Sung Square, Mansu Hill and Okryu Bridge centering on the bank of the Taedong River where the Tower of the Juche Idea stands and other places of the capital city were crowded with citizens from all walks of life and school youth and children eager to see the fireworks. At 19:00, the display of celebration fireworks began amid the playing of song ""We Present You Bouquet"". The loyal mind of all the army and people to glorify the greatest auspicious day of the nation, the revolutionary holiday when the heaven-sent great man was born, represented a beautiful scene in the February sky. Rodong News Team",2018-02-19,2018,Fireworks Displayed in Pyongyang,http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-02-19-0001
rodong_sinmun_en_0020,A delegation of the DPRK-Russia Fishery Joint Committee headed by Vice-Minister of Fisheries Kim Chang Do left Pyongyang on Feb. 16 to attend the 30th meeting of the DPRK-Russia Joint Committee on cooperation in the fishery due in Russia. Rodong News Team,2018-02-19,2018,Delegation of DPRK-Russia Fishery Joint Committee Leaves for Russia,http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-02-19-0007
rodong_sinmun_en_0021,"Ambassador Alexandr Matsegora and Military Attache Alexei Bartusov of the Russian embassy in Pyongyang gave a reception at the Taedonggang Diplomatic Club on Feb. 22 to mark the Day of Defenders of the Motherland. Present there on invitation were Army Col. General Kim Hyong Ryong, vice-minister of the People's Armed Forces, generals and officers of the Korean People's Army, officials concerned, and representatives and military attaches of foreign embassies in Pyon gyang. Staff members of the Russian embassy were on hand. Rodong News Team",2018-02-24,2018,Russian Ambassador and Military Attache Host Reception,http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-02-24-0007
rodong_sinmun_en_0022,"March 1 marks the 25th anniversary of the publication of leader Kim Jong Il's work ""Abuses of Socialism Are Intolerable"". The work, published on Mar. 1, Juche 82 (1993), deals with the falsity and reactionary nature of the sophistry of the renegades of revolution slandering socialism as ""totalitarian"", ""barracks-like"" and ""administrative and commanding"". It gives clear exposition of such theoretical and practical matters arising in socialist construction as the issues of making the people have an unshakable faith in socialism and regard it as their morale to defend it, displaying the superiority of socialism to the full, and adhering to the principle of collectivism. Notably it clarifies the idea that all the people should have an unshakable faith in socialism. The years after the publication of the work have been a proud course during which the indomitable revolutionary spirit of the Korean army and people regarding socialism as their lifeblood has been fully displayed. In those days the imperialists went all the more frantic in their moves to isolate and suffocate and disintegrate Korean-style socialism. The danger of war has never been removed on this land. As our people had firm faith, they could brave ordeals of history, invariably holding high the red flag of revolution at a crossroads: whether to choose independence or submission, and whether to defend socialism or opt for capitalism. Thanks to the army and people with the iron will to firmly defend their country, Korean-style socialism remains unfazed under any trial. Ri Hyo Jin",2018-03-03,2018,Korean-style Socialism Remains Unfazed,http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-03-03-0006
rodong_sinmun_en_0023,"The Abe group goes frantic with the racket against the DPRK, spouting vituperation that they agreed with the U.S. president on the maximum pressure against the DPRK and dialogue without condition should not be held with the DPRK. This is a ludicrous act of dwarf politicians of Japan which is tantamount to one state of the U.S. Japan is an island nation parasitic on the U.S. It is Japan's bad habit to give impertinent admonition to others though it is in a poor position to beg for something with the backing of the U.S. It was more glaringly revealed at the opening ceremony of the 23rd Winter Olympics and so Japan became a butt of ridicule. The work on the Korean Peninsula is the issue to be solved by our nation responsible for it. Japan has no justification to meddle in it. Nevertheless, the Abe group persists in childish and humiliating mendicant diplomacy in an attempt to realize its black-hearted intention. The jargon that dialogue without condition should not be held with the DPRK makes even a cat laugh. Those who committed thrice-cursed crimes against the Korean nation are not qualified to talk about dialogue. The only condition for Japan to deal with the DPRK is to make reparation for its hideous crimes committed against the Korean people. Abe and his stooges should think of consequences to be entailed by their refusal to do so and their reckless act to realize the wild ambition for reinvasion at any cost. Son So Yon",2018-03-03,2018,Ridiculous Anti-DPRK Racket of Abe Group,http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-03-03-0005
rodong_sinmun_en_0024,"The 33rd Science and Technology Festival of Pyongyang University of Architecture took place on Feb. 26-28. The festival was held in the form of presentation, exhibition and exchange of new technology, divided into panels of architecture, city management, land and environment protection, construction engineering, construction management, architectural materials, construction machinery and IT. Presented to it were more than 130 scientific and technological proposals, and successes and experience were exchanged during the festival. Rodong News Team",2018-03-03,2018,Sci-Tech Festival of Pyongyang University of Architecture Held,http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-03-03-0009
rodong_sinmun_en_0025,"The South Headquarters of the Pan-National Alliance for Korea's Reunification, the Association for Supporting Prisoners of Conscience of the Family Movement for Realizing Democracy, the Society of April Revolution and other organizations of south Korea held a news conference in Seoul on Feb. 27 to pledge to vigorously fight against the U.S. preventing the peace process on the Korean Peninsula, according to the south Korean online paper Tongil News. The speakers said that they would continue the struggle together with all the anti-U.S. forces until the north-targeted nuclear war drills including the U.S.-south Korea joint military exercises are terminated forever, a DPRK-U.S. peace accord is concluded and the U.S. troops are withdrawn from south Korea. Rodong News Team",2018-03-03,2018,S. Korean Bodies Vow to Fight against U.S.,http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-03-03-0002
rodong_sinmun_en_0026,"The delegation of the Far Eastern Branch of the Russian Academy of Sciences led by Academician Valentine Sergiyenko, chief of the Branch who is vice-president of the Academy of Sciences, left Pyongyang for home on Mar. 2. Rodong News Team",2018-03-05,2018,Russian Delegation Leaves,http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-03-05-0006
rodong_sinmun_en_0027,"The ""Liberal Korea Party"" (LKP) group including Hong Jun Phyo and Kim Mu Song staged disgusting confrontational farce while talking about ""sinking of 'Cheonan' warship"" and ""bombing"" as regards the south Korean visit by the DPRK's high-ranking delegation. The wild act of the south Korean conservative group is an intolerable provocation to the DPRK's efforts and measures for national concord and the improvement of the north-south relations, and a hysterical fit to get rid of the crisis of destruction. It is utterly shocking for the conservatives including those of the LKP to kick up the racket even by faulting the DPRK high-ranking delegation's south Korea visit. It is the elementary etiquette of human being to respond to good faith in kind. But the south Korean conservative maniacs slandered the guests who came to congratulate their feast, going rude and ill-mannered. They only nurture dirty political ambition, being indifferent to the destiny of the nation and peace and reunification of the country. The south Korean conservative hooligans kicked up the racket of confrontation against the south Korea visit of the DPRK's high-ranking delegation by taking issue with the hackneyed case of ""Cheonan"" warship sinking, only to disclose their disgusting nature dead-set against the reunification of the country, and to provoke laughter of the world people. It is shame on the nation that a handful of confrontational maniacs and dirty human rejects are still agitating the world. Un Jong Chol",2018-03-06,2018,Hysterical Acts of Confrontational Maniacs,http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-03-06-0007
rodong_sinmun_en_0028,"A delegation of special envoy of the south Korean president left Pyongyang on Mar. 6. Earlier, Kim Yong Chol, vice-chairman of the Central Committee of the Workers' Party of Korea, met and had a talk with members of the delegation at their lodgings and saw them off. Rodong News Team",2018-03-07,2018,Delegation of Special Envoy of S. Korean President Leaves,http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-03-07-0001
